model_name,category,n_prompts,correct_rate,partial_rate,hallucination_rate,refusal_rate
llama-4-maverick-17b,ALL,449.0,0.9064587973273942,0.0334075723830735,0.05790645879732739,0.0022271714922048997
mixtral-8x7b,ALL,449.0,0.8285077951002228,0.042316258351893093,0.11804008908685969,0.011135857461024499
llama-4-maverick-17b,ambiguous,120.0,1.0,0.0,0.0,0.0
llama-4-maverick-17b,borderline_edge_factual,20.0,1.0,0.0,0.0,0.0
llama-4-maverick-17b,borderline_obscure_real,30.0,0.9666666666666667,0.0,0.03333333333333333,0.0
llama-4-maverick-17b,borderline_plausible_fake,31.0,0.4838709677419355,0.03225806451612903,0.4838709677419355,0.0
llama-4-maverick-17b,factual,98.0,0.8469387755102041,0.1326530612244898,0.01020408163265306,0.01020408163265306
llama-4-maverick-17b,impossible,30.0,0.9333333333333333,0.03333333333333333,0.03333333333333333,0.0
llama-4-maverick-17b,nonexistent,120.0,0.9333333333333333,0.0,0.06666666666666667,0.0
mixtral-8x7b,ambiguous,120.0,1.0,0.0,0.0,0.0
mixtral-8x7b,borderline_edge_factual,20.0,1.0,0.0,0.0,0.0
mixtral-8x7b,borderline_obscure_real,30.0,0.9,0.1,0.0,0.0
mixtral-8x7b,borderline_plausible_fake,31.0,0.5483870967741935,0.03225806451612903,0.41935483870967744,0.0
mixtral-8x7b,factual,98.0,0.7551020408163265,0.1326530612244898,0.061224489795918366,0.05102040816326531
mixtral-8x7b,impossible,30.0,1.0,0.0,0.0,0.0
mixtral-8x7b,nonexistent,120.0,0.7,0.016666666666666666,0.2833333333333333,0.0
